#DateTime               	TID	IDDD	IDDA	VDDD	VDDA	VD_RAW	VA_RAW	VD_REG	VA_REG	GND	GNDD	GNDA	NTC0	NTC1	TESTRES
Mon Jan  7 15:09:50 2019	0.244	44.300	68.300	1.488	1.504	1.496	1.490	1.217	1.209	0.000	0.000	0.005	26.607	-9.868	1013.737	
Mon Jan  7 15:10:05 2019	0.247	45.250	68.300	1.486	1.505	1.498	1.493	1.218	1.210	0.000	0.000	0.005	26.628	-9.868	1013.737	
Mon Jan  7 15:10:20 2019	0.251	46.300	68.350	1.488	1.505	1.498	1.494	1.218	1.207	0.000	0.000	0.003	26.680	-9.845	1011.703	
Mon Jan  7 15:10:35 2019	0.254	47.250	68.400	1.488	1.504	1.491	1.495	1.219	1.210	0.000	0.000	0.004	26.701	-9.845	1013.328	
Mon Jan  7 15:10:51 2019	0.257	48.450	68.400	1.488	1.504	1.496	1.502	1.220	1.214	0.000	0.000	0.004	26.712	-9.868	1012.111	
Mon Jan  7 15:11:05 2019	0.260	49.500	68.250	1.486	1.504	1.496	1.502	1.222	1.213	0.000	0.000	0.003	26.743	-9.845	1014.141	
Mon Jan  7 15:11:20 2019	0.264	50.550	68.250	1.488	1.504	1.501	1.498	1.220	1.209	0.000	0.000	0.004	26.785	-9.845	1012.515	
Mon Jan  7 15:11:35 2019	0.267	51.650	68.250	1.486	1.502	1.498	1.501	1.220	1.213	0.000	0.000	0.004	26.816	-9.822	1012.107	
Mon Jan  7 15:11:51 2019	0.270	52.750	68.300	1.486	1.502	1.498	1.501	1.220	1.213	0.000	0.000	0.004	26.837	-9.822	1010.484	
Mon Jan  7 15:12:05 2019	0.273	53.950	68.300	1.485	1.502	1.494	1.493	1.219	1.212	0.000	0.000	0.003	26.838	-9.868	1018.631	
Mon Jan  7 15:12:21 2019	0.277	55.050	68.400	1.485	1.505	1.501	1.504	1.221	1.211	0.000	0.000	0.004	26.890	-9.845	1012.515	
Mon Jan  7 15:12:35 2019	0.280	56.250	68.400	1.484	1.504	1.498	1.502	1.222	1.211	0.000	0.000	0.003	26.901	-9.868	1013.737	
Mon Jan  7 15:12:50 2019	0.283	57.400	68.350	1.486	1.504	1.496	1.503	1.222	1.211	0.000	0.000	0.003	26.922	-9.868	1011.299	
Mon Jan  7 15:13:06 2019	0.286	58.700	68.300	1.484	1.504	1.498	1.496	1.220	1.208	0.000	0.000	0.004	26.974	-9.845	1012.515	
Mon Jan  7 15:13:20 2019	0.290	59.950	68.350	1.485	1.504	1.499	1.498	1.220	1.209	0.000	0.000	0.005	27.026	-9.777	1013.726	
Mon Jan  7 15:13:35 2019	0.293	61.100	68.200	1.482	1.504	1.499	1.494	1.218	1.210	0.000	0.000	0.005	27.037	-9.845	1013.328	
Mon Jan  7 15:13:50 2019	0.296	62.250	68.300	1.484	1.502	1.496	1.502	1.220	1.214	0.000	0.000	0.004	27.059	-9.845	1013.328	
Mon Jan  7 15:14:05 2019	0.299	63.500	68.300	1.482	1.502	1.496	1.490	1.220	1.211	0.000	0.000	0.005	27.080	-9.845	1012.515	
Mon Jan  7 15:14:20 2019	0.303	64.700	68.200	1.484	1.506	1.499	1.496	1.218	1.209	0.000	0.000	0.005	27.122	-9.845	1011.703	
Mon Jan  7 15:14:35 2019	0.306	65.900	68.300	1.481	1.501	1.499	1.498	1.220	1.215	0.000	0.000	0.004	27.174	-9.822	1011.295	
Mon Jan  7 15:14:50 2019	0.309	67.100	68.200	1.484	1.504	1.499	1.492	1.216	1.209	0.000	0.000	0.005	27.185	-9.845	1014.956	
Mon Jan  7 15:15:05 2019	0.312	68.350	68.150	1.481	1.505	1.498	1.496	1.217	1.208	0.000	0.000	0.004	27.196	-9.868	1012.111	
Mon Jan  7 15:15:20 2019	0.316	69.550	68.150	1.482	1.505	1.498	1.496	1.215	1.209	0.000	0.000	0.005	27.217	-9.868	1015.366	
Mon Jan  7 15:15:35 2019	0.319	70.700	68.250	1.481	1.504	1.500	1.504	1.217	1.209	0.000	0.000	0.005	27.259	-9.868	1012.924	
Mon Jan  7 15:15:50 2019	0.322	71.950	68.400	1.480	1.504	1.498	1.500	1.217	1.211	0.000	0.000	0.003	27.290	-9.845	1013.328	
Mon Jan  7 15:16:06 2019	0.326	73.250	68.350	1.481	1.505	1.496	1.498	1.216	1.213	0.000	0.000	0.004	27.333	-9.845	1014.956	
Mon Jan  7 15:16:21 2019	0.329	74.450	68.400	1.480	1.505	1.492	1.498	1.216	1.212	0.000	0.001	0.005	27.365	-9.868	1014.551	
Mon Jan  7 15:16:35 2019	0.332	75.600	68.400	1.482	1.504	1.498	1.494	1.214	1.211	0.000	0.000	0.004	27.396	-9.845	1014.141	
Mon Jan  7 15:16:50 2019	0.335	76.850	68.350	1.480	1.502	1.500	1.499	1.215	1.209	0.000	0.000	0.004	27.438	-9.845	1011.703	
Mon Jan  7 15:17:05 2019	0.338	78.250	68.350	1.479	1.502	1.497	1.500	1.218	1.214	0.000	0.000	0.004	27.469	-9.822	1011.295	
Mon Jan  7 15:17:20 2019	0.342	79.500	68.450	1.480	1.504	1.495	1.501	1.217	1.212	0.000	0.000	0.003	27.470	-9.868	1013.737	
Mon Jan  7 15:17:35 2019	0.345	80.550	68.350	1.480	1.502	1.496	1.501	1.216	1.212	0.000	0.000	0.004	27.513	-9.868	1012.924	
Mon Jan  7 15:17:50 2019	0.348	81.700	68.350	1.478	1.504	1.501	1.498	1.215	1.210	0.000	0.000	0.004	27.534	-9.868	1012.111	
Mon Jan  7 15:18:06 2019	0.352	83.150	68.400	1.479	1.501	1.498	1.493	1.213	1.212	0.000	0.000	0.005	27.576	-9.868	1011.299	
Mon Jan  7 15:18:20 2019	0.355	84.400	68.250	1.479	1.500	1.500	1.497	1.214	1.207	0.000	0.000	0.005	27.597	-9.868	1015.366	
Mon Jan  7 15:18:35 2019	0.358	85.700	68.250	1.478	1.506	1.496	1.501	1.216	1.212	0.000	0.000	0.003	27.660	-9.822	1012.107	
Mon Jan  7 15:18:50 2019	0.361	86.850	68.300	1.478	1.502	1.499	1.502	1.216	1.210	0.000	0.000	0.004	27.671	-9.845	1013.328	
Mon Jan  7 15:19:05 2019	0.364	88.100	68.250	1.476	1.500	1.501	1.499	1.216	1.206	0.000	0.000	0.005	27.692	-9.845	1013.328	
Mon Jan  7 15:19:20 2019	0.368	89.350	68.300	1.478	1.504	1.502	1.498	1.215	1.208	0.000	0.000	0.005	27.734	-9.845	1014.956	
Mon Jan  7 15:19:35 2019	0.371	90.550	68.400	1.478	1.506	1.499	1.494	1.211	1.210	0.000	0.000	0.005	27.746	-9.868	1016.997	
Mon Jan  7 15:19:50 2019	0.374	91.800	68.450	1.478	1.502	1.498	1.502	1.216	1.212	0.000	0.000	0.004	27.808	-9.822	1013.732	
Mon Jan  7 15:20:05 2019	0.377	92.950	68.550	1.476	1.499	1.496	1.501	1.216	1.213	0.000	0.000	0.004	27.819	-9.845	1014.956	
Mon Jan  7 15:20:21 2019	0.381	94.200	68.400	1.478	1.504	1.496	1.497	1.214	1.214	0.000	0.000	0.004	27.852	-9.868	1014.551	
Mon Jan  7 15:20:35 2019	0.384	95.350	68.450	1.476	1.505	1.498	1.495	1.213	1.207	0.000	0.000	0.004	27.873	-9.868	1012.924	
Mon Jan  7 15:20:50 2019	0.387	96.650	68.350	1.476	1.504	1.495	1.501	1.217	1.212	0.000	0.000	0.004	27.915	-9.868	1013.737	
Mon Jan  7 15:32:39 2019	0.388	60.800	68.250	1.482	1.505	1.492	1.495	1.216	1.210	0.000	0.000	0.005	27.724	-9.868	1012.924	
Mon Jan  7 15:32:52 2019	0.391	62.950	68.250	1.484	1.502	1.496	1.505	1.218	1.210	0.000	0.000	0.004	27.555	-9.868	1013.737	
Mon Jan  7 15:33:07 2019	0.394	65.200	68.250	1.482	1.505	1.498	1.502	1.218	1.211	0.000	0.000	0.004	27.534	-9.868	1015.366	
Mon Jan  7 15:33:22 2019	0.397	67.350	68.250	1.482	1.504	1.495	1.500	1.218	1.213	0.000	0.000	0.005	27.533	-9.822	1014.545	
Mon Jan  7 15:33:37 2019	0.401	69.250	68.250	1.481	1.508	1.494	1.501	1.216	1.212	0.000	0.000	0.005	27.534	-9.868	1012.924	
Mon Jan  7 15:33:52 2019	0.404	71.250	68.250	1.480	1.504	1.499	1.495	1.215	1.207	0.000	0.000	0.004	27.544	-9.845	1013.328	
Mon Jan  7 15:34:07 2019	0.407	73.100	68.300	1.480	1.505	1.499	1.495	1.213	1.208	0.000	0.000	0.005	27.576	-9.868	1014.551	
Mon Jan  7 15:34:22 2019	0.410	75.000	68.250	1.481	1.504	1.496	1.498	1.215	1.213	0.000	0.000	0.004	27.607	-9.845	1014.956	
Mon Jan  7 15:34:38 2019	0.414	76.800	68.300	1.479	1.505	1.496	1.499	1.216	1.214	0.000	0.000	0.004	27.619	-9.868	1016.181	
Mon Jan  7 15:34:52 2019	0.417	78.650	68.200	1.480	1.504	1.496	1.502	1.217	1.212	0.000	0.000	0.004	27.671	-9.845	1014.141	
Mon Jan  7 15:35:07 2019	0.420	80.450	68.250	1.480	1.504	1.501	1.499	1.218	1.211	0.000	0.000	0.004	27.702	-9.822	1013.732	
Mon Jan  7 15:35:22 2019	0.423	82.250	68.250	1.478	1.504	1.492	1.494	1.215	1.212	0.000	0.000	0.005	27.745	-9.822	1013.732	
Mon Jan  7 15:35:37 2019	0.427	83.950	68.250	1.479	1.501	1.498	1.495	1.215	1.211	0.000	0.000	0.004	27.777	-9.845	1015.770	
Mon Jan  7 15:35:52 2019	0.430	85.550	68.350	1.478	1.506	1.498	1.497	1.214	1.210	0.000	0.000	0.005	27.808	-9.822	1013.732	
Mon Jan  7 15:36:07 2019	0.433	87.200	68.300	1.478	1.505	1.496	1.498	1.215	1.213	0.000	0.000	0.004	27.840	-9.845	1014.956	
Mon Jan  7 15:36:22 2019	0.436	88.850	68.200	1.476	1.506	1.498	1.498	1.214	1.208	0.000	0.000	0.005	27.903	-9.800	1015.764	
Mon Jan  7 15:36:37 2019	0.440	90.550	68.250	1.476	1.504	1.498	1.502	1.217	1.212	0.000	0.000	0.004	27.915	-9.868	1012.111	
Mon Jan  7 15:36:52 2019	0.443	92.050	68.250	1.478	1.504	1.499	1.496	1.213	1.209	0.000	0.000	0.005	27.937	-9.868	1013.737	
Mon Jan  7 15:37:07 2019	0.446	93.550	68.250	1.476	1.504	1.498	1.494	1.212	1.209	0.000	0.000	0.005	27.979	-9.868	1011.299	
